分数段,本段人数,累计人数
265,672,519396
264,648,520044
263,630,520674
262,664,521338
261,644,521982
260,623,522605
259,627,523232
258,571,523803
257,592,524395
256,574,524969
255,541,525510
254,540,526050
253,505,526555
252,537,527092
251,529,527621
250,496,528117
249,501,528618
248,439,529057
247,494,529551
246,486,530037
245,424,530461
244,411,530872
243,435,531307
242,431,531738
241,410,532148
240,400,532548
239,401,532949
238,403,533352
237,389,533741
236,343,534084
235,349,534433
234,353,534786
233,343,535129
232,322,535451
231,341,535792
230,300,536092
229,283,536375
228,274,536649
227,279,536928
226,244,537172
225,274,537446
224,257,537703
223,253,537956
222,272,538228
221,222,538450
220,221,538671
219,203,538874
218,197,539071
217,198,539269
216,183,539452
215,151,539603
214,168,539771
213,173,539944
212,189,540133
211,161,540294
210,144,540438
209,139,540577
208,166,540743
207,143,540886
206,119,541005
205,137,541142
204,128,541270
203,116,541386
202,111,541497
201,100,541597
200,118,541715
199,106,541821
198,111,541932
197,81,542013
196,97,542110
195,91,542201
194,89,542290
193,73,542363
192,65,542428
191,85,542513
190,79,542592
189,72,542664
188,76,542740
187,62,542802
186,58,542860
185,78,542938
184,68,543006
183,65,543071
182,46,543117
181,58,543175
180,64,543239
179,51,543290
178,56,543346
177,50,543396
176,52,543448
175,53,543501
174,59,543560
173,59,543619
172,38,543657
171,41,543698
170,39,543737
169,43,543780
168,38,543818
167,51,543869
166,40,543909
165,32,543941
164,28,543969
163,29,543998
162,43,544041
161,34,544075
160,38,544113
159,36,544149
158,27,544176
157,32,544208
156,36,544244
155,27,544271
154,39,544310
153,29,544339
152,35,544374
151,39,544413
150,11,544424
